Card,NHẬN XỬ LÝ,Card Type,Loại hoàn tiền,Thể loại,Mã MCC,Phần trăm,Max mỗi tháng,Phí Thường Niên,Note
VCB Digi Debit ,,VISA,Cashback,Online,"7997, 5814",5%,300.000đ,,
VIB Platinum Debit ,,MASTER,Cashback,Online,,2%,400.000đ,,
Sacombank American Express® Debit,,AMEX,Cashback,"Các thanh toán vé máy bay, khách sạn, đại lý du lịch.",4511,8%,300.000đ,,
VPBank Prime Debit ,,VISA,Cashback,THANH TOÁN CHẠM TỐI THIỂU 3 GD,POS,3%,400.000đ,,PHẢI CHẠM MỚI HOÀN
SHB Visa Debit ,,VISA,Cashback,Ẩm thực ,5814,2%,300.000đ,,
VIETBANK DEBIT LUXURY ,,MASTER,Cashback,Ẩm thực,5814,2%,200.000₫,,
Woori Visa Z Debit ,,VISA,Cashback,Online,,2%,500.000đ,,
AB VISA PRIORITY,,VISA,Cashback,"Giao dịch hợp lệ để xác định hoàn tiền: là các giao dịch sử dụng thẻ tín dụng ABBANK để thanh toán hàng hóa, dịch vụ qua các thiết bị chấp nhận thẻ, qua các phương thức điện tử ",,5%,1.000.000đ,Vui lòng liên hệ trực tiếp với ABBank để biết chi tiết.,Hiệu lực từ ngày 21/06/2024
AB Visa Cashback,,VISA,Cashback,"Giao dịch hợp lệ để xác định hoàn tiền: là các giao dịch sử dụng thẻ tín dụng
ABBANK để thanh toán hàng hóa, dịch vụ",,5%,1.000.000đ,Vui lòng liên hệ trực tiếp với ABBank để biết chi tiết.,Khách hàng ưu tiên
,,,,,,2%,500.000đ,,Khách hàng không là khách hàng ưu tiên
AB Visa Travel,,VISA,Cashback,"Các chi tiêu du lịch, khách sạn","3000-
3301,4511,4722,7
011,3501-3836",5%,600.000đ,LH trực tiếp AB bank,"Hạn mức chi tiêu: Tối đa 300.000.000 VND/ngày, Lãi suất: 27%/năm"
BIDV Premier,,VISA,Điểm,Gym,7997,5%,"1,000,000 ₫",Free nếu là KHƯT,
BIDV Flex,,VISA,Điểm,Ẩm thực,5812-5262,2%,"400,000 ₫",,Trả lương 400. Không trả lương thì 300k
"TDQT JCB
Well-being",,JCB,ĐIỂM,Giao dịch tại lĩnh vực y tế ,"7298,8062,
8050,8099, 8021,8042, 8071",10%,"500,000 ₫",,"TIÊU TỪ 20T TRỞ LÊN, DƯỚI 20T 5% MAX 200K"
,,,,Giao dịch tại: Lĩnh vực bảo hiểm - Lĩnh vực thời trang ,"6300,5641, 5611,5621,
5651, 5691",6%,"500,000 ₫",,"TIÊU TỪ 20T TRỞ LÊN, DƯỚI 20T 3% MAX 200K"
"BIDV JCB
Ultimate",,JCB,Điểm,Ẩm thực tháng SN,5812,20%,"500,000 ₫","1,500,000 ₫","Tổng hoàn tiền 800.000 đ, nếu trả lương qua BIDV. Không thì 600.000 đ"
,,,,Ẩm thực tháng khác,,10%,,,
,,,,Ẩm thực POS tại Nhật,,15%,"800,000 ₫",,
,,,,Khác,,0.15%,,,
"BIDV
Cashback 360",,VISA,Điểm,Siêu thị,5411,10%,"300,000 ₫","1,000,000 ₫",Tổng gd siêu thị > 10tr
,,,,Siêu thị,,2%,,,Tổng gd siêu thị 5-10tr
,,,,Siêu thị,,0.50%,,,Tổng gd siêu thị < 5tr
,,,,Y tế,"7298,8062, 8050,8099, 8021,8042,8071",2%,"600,000 ₫",,"Tổng hoàn tiền 800.000 đ,nếu trả lương qua BIDV,Không thì 600.000 đ"
,,,,,,,,,
,,,,Giáo dục,"8244,8351,8220,
8211,8299,8249,8241",2%,,,
,,,,Ngoại tệ,,1%,,,
